Topic,Count,Representation,Coef
5,53,"0.006*""series"" + 0.005*""performance"" + 0.005*""think"" + 0.005*""still"" + 0.004*""iphone"" + 0.004*""mode"" + 0.004*""thing"" + 0.004*""thats"" + 0.004*""display"" + 0.004*""actually""",1554221.1
17,8,"0.010*""little"" + 0.007*""music"" + 0.007*""watch"" + 0.006*""huawei"" + 0.005*""going"" + 0.005*""apple"" + 0.004*""design"" + 0.004*""series"" + 0.004*""case"" + 0.004*""display""",375300.38
12,28,"0.013*""iphone"" + 0.007*""pro"" + 0.007*""city"" + 0.006*""going"" + 0.006*""case"" + 0.006*""little"" + 0.005*""right"" + 0.005*""photo"" + 0.005*""apple"" + 0.005*""still""",371938.88
4,26,"0.008*""case"" + 0.006*""photo"" + 0.005*""x"" + 0.005*""going"" + 0.005*""zoom"" + 0.004*""pen"" + 0.004*""best"" + 0.004*""smartphone"" + 0.004*""display"" + 0.004*""little""",236928.3
0,73,"0.013*""iphone"" + 0.006*""im"" + 0.005*""device"" + 0.005*""little"" + 0.005*""photo"" + 0.004*""zoom"" + 0.004*""color"" + 0.004*""apple"" + 0.004*""think"" + 0.004*""k""",124534.875
3,40,"0.007*""going"" + 0.006*""display"" + 0.005*""would"" + 0.005*""mode"" + 0.004*""x"" + 0.004*""mobile"" + 0.004*""series"" + 0.004*""quality"" + 0.004*""used"" + 0.004*""thing""",69238.336
6,161,"0.006*""music"" + 0.006*""still"" + 0.005*""performance"" + 0.005*""iphone"" + 0.004*""series"" + 0.004*""display"" + 0.004*""pro"" + 0.004*""device"" + 0.004*""thing"" + 0.004*""thats""",6384.124
7,22,"0.012*""right"" + 0.006*""device"" + 0.006*""going"" + 0.006*""im"" + 0.006*""pro"" + 0.006*""little"" + 0.006*""photo"" + 0.006*""iphone"" + 0.006*""mode"" + 0.005*""thing""",5420.8066
9,29,"0.012*""iphone"" + 0.009*""pro"" + 0.007*""megapixel"" + 0.007*""zoom"" + 0.006*""shot"" + 0.006*""think"" + 0.006*""little"" + 0.005*""max"" + 0.005*""mode"" + 0.004*""light""",-2723.7769
16,35,"0.008*""photo"" + 0.007*""little"" + 0.007*""iphone"" + 0.005*""right"" + 0.005*""difference"" + 0.005*""need"" + 0.005*""yes"" + 0.005*""display"" + 0.004*""everything"" + 0.004*""smartphone""",-15475.641
8,54,"0.009*""iphone"" + 0.008*""pro"" + 0.007*""photo"" + 0.006*""light"" + 0.005*""zoom"" + 0.005*""mode"" + 0.005*""little"" + 0.005*""think"" + 0.004*""pen"" + 0.004*""max""",-86145.5
2,26,"0.006*""photo"" + 0.006*""would"" + 0.006*""fe"" + 0.006*""little"" + 0.005*""expert"" + 0.005*""still"" + 0.005*""mode"" + 0.004*""iphone"" + 0.004*""main"" + 0.004*""shooting""",-186481.39
14,104,"0.010*""iphone"" + 0.009*""pro"" + 0.006*""still"" + 0.006*""max"" + 0.004*""device"" + 0.004*""apple"" + 0.004*""think"" + 0.004*""pixel"" + 0.004*""smartphone"" + 0.004*""series""",-214997.8
1,32,"0.018*""pro"" + 0.013*""iphone"" + 0.011*""max"" + 0.008*""series"" + 0.006*""apple"" + 0.005*""india"" + 0.005*""difference"" + 0.005*""little"" + 0.004*""price"" + 0.004*""display""",-231908.47
19,60,"0.016*""pro"" + 0.009*""iphone"" + 0.006*""pixel"" + 0.005*""im"" + 0.005*""right"" + 0.004*""price"" + 0.004*""think"" + 0.004*""exynos"" + 0.004*""going"" + 0.004*""mode""",-262487.22
11,40,"0.008*""case"" + 0.008*""megapixel"" + 0.006*""design"" + 0.006*""x"" + 0.005*""display"" + 0.005*""zoom"" + 0.004*""change"" + 0.004*""sensor"" + 0.004*""color"" + 0.004*""right""",-270560.0
18,21,"0.012*""case"" + 0.009*""screenshot"" + 0.008*""ship"" + 0.006*""protection"" + 0.005*""edge"" + 0.005*""series"" + 0.004*""panel"" + 0.004*""zoom"" + 0.004*""device"" + 0.003*""way""",-355484.72
13,18,"0.015*""photo"" + 0.007*""little"" + 0.007*""opa"" + 0.006*""everything"" + 0.005*""main"" + 0.005*""right"" + 0.005*""way"" + 0.004*""picture"" + 0.004*""example"" + 0.004*""another""",-363135.28
15,38,"0.008*""lens"" + 0.007*""think"" + 0.007*""iphone"" + 0.007*""little"" + 0.006*""pro"" + 0.006*""bit"" + 0.006*""im"" + 0.005*""going"" + 0.005*""part"" + 0.005*""feel""",-365170.22
10,33,"0.015*""iphone"" + 0.007*""case"" + 0.006*""smartphone"" + 0.004*""pro"" + 0.004*""gb"" + 0.004*""course"" + 0.004*""photo"" + 0.004*""smartphones"" + 0.004*""performance"" + 0.004*""still""",-389396.56
